X	Y	class
-1.23E+00	9.67E-01	1.00E+00
-5.54E-02	-2.64E-01	-1.00E+00
3.53E-01	-1.53E-01	1.00E+00
-1.30E+00	1.28E+00	1.00E+00
1.33E+00	2.05E-01	-1.00E+00
4.51E-02	2.34E+00	-1.00E+00
-2.76E-01	-2.60E-01	-1.00E+00
3.64E-01	1.47E+00	-1.00E+00
1.59E+00	-2.59E-01	1.00E+00
3.08E-01	-1.38E+00	1.00E+00
-3.12E-01	-8.40E-01	-1.00E+00
-1.01E+00	1.68E+00	1.00E+00
-7.92E-01	-5.32E-01	-1.00E+00
3.66E-01	1.30E+00	-1.00E+00
4.81E-01	2.76E+00	-1.00E+00
-7.47E-02	2.59E-01	1.00E+00
2.76E-01	1.44E+00	-1.00E+00
5.07E-01	-1.16E-01	1.00E+00
-9.47E-01	2.44E-01	1.00E+00
1.40E+00	-4.10E-01	1.00E+00
5.29E-01	2.46E-01	-1.00E+00
8.64E-01	-8.05E-01	1.00E+00
2.35E+00	-1.28E+00	1.00E+00
-3.66E-01	9.38E-01	1.00E+00
2.97E-01	8.30E-01	-1.00E+00
-4.96E-01	-7.48E-02	-1.00E+00
1.22E-02	1.57E+00	-1.00E+00
6.90E-01	7.97E-01	-1.00E+00
-6.58E-01	9.69E-01	1.00E+00
2.26E-01	1.39E+00	-1.00E+00
2.01E+00	-3.07E-01	1.00E+00
-4.06E-01	-8.64E-01	-1.00E+00
-1.44E-01	-3.82E-01	-1.00E+00
3.60E-01	-1.45E-01	1.00E+00
-3.62E-01	1.06E+00	1.00E+00
-9.38E-01	4.33E-01	1.00E+00
-4.06E-01	7.24E-01	1.00E+00
1.39E+00	-3.03E-01	1.00E+00
4.41E-01	1.79E-01	-1.00E+00
-7.99E-01	2.41E-01	1.00E+00
2.89E-01	4.13E-01	-1.00E+00
-1.98E-01	9.42E-02	1.00E+00
-1.15E+00	-3.58E-01	-1.00E+00
